id,choice_set,two_choices,two_choices_set,choice1,choice2,num1,num2,phenomenon_category,category1,category2
0,a man; a woman,a man; a woman,a man; a woman,a man,a woman,1,1,AllComparisons,,
937,a boy; a criminal,2 criminals; 2 boys,2 boys; 2 criminals,2 criminals,2 boys,2,2,AllComparisons,,
938,a boy; a criminal,5 boys; a criminal,5 boys; a criminal,5 boys,a criminal,5,1,AllComparisons,,
939,a boy; a criminal,a criminal; 5 boys,5 boys; a criminal,a criminal,5 boys,1,5,AllComparisons,,
940,a boy; a criminal,a boy; 5 criminals,a boy; 5 criminals,a boy,5 criminals,1,5,AllComparisons,,
941,a boy; a criminal,5 criminals; a boy,a boy; 5 criminals,5 criminals,a boy,5,1,AllComparisons,,
942,a boy; a criminal,5 boys; 5 criminals,5 boys; 5 criminals,5 boys,5 criminals,5,5,AllComparisons,,
943,a boy; a criminal,5 criminals; 5 boys,5 boys; 5 criminals,5 criminals,5 boys,5,5,AllComparisons,,
944,a boy; a male executive,a boy; a male executive,a boy; a male executive,a boy,a male executive,1,1,AllComparisons,,
945,a boy; a male executive,a male executive; a boy,a boy; a male executive,a male executive,a boy,1,1,AllComparisons,,
946,a boy; a male executive,1 boy; 1 male executive,1 boy; 1 male executive,1 boy,1 male executive,1,1,AllComparisons,,
947,a boy; a male executive,1 male executive; 1 boy,1 boy; 1 male executive,1 male executive,1 boy,1,1,AllComparisons,,
948,a boy; a male executive,2 boys; a male executive,2 boys; a male executive,2 boys,a male executive,2,1,AllComparisons,,
949,a boy; a male executive,a male executive; 2 boys,2 boys; a male executive,a male executive,2 boys,1,2,AllComparisons,,
950,a boy; a male executive,a boy; 2 male executives,a boy; 2 male executives,a boy,2 male executives,1,2,AllComparisons,,
951,a boy; a male executive,2 male executives; a boy,a boy; 2 male executives,2 male executives,a boy,2,1,AllComparisons,,
952,a boy; a male executive,2 boys; 2 male executives,2 boys; 2 male executives,2 boys,2 male executives,2,2,AllComparisons,,
953,a boy; a male executive,2 male executives; 2 boys,2 boys; 2 male executives,2 male executives,2 boys,2,2,AllComparisons,,
954,a boy; a male executive,5 boys; a male executive,5 boys; a male executive,5 boys,a male executive,5,1,AllComparisons,,
955,a boy; a male executive,a male executive; 5 boys,5 boys; a male executive,a male executive,5 boys,1,5,AllComparisons,,
956,a boy; a male executive,a boy; 5 male executives,a boy; 5 male executives,a boy,5 male executives,1,5,AllComparisons,,
957,a boy; a male executive,5 male executives; a boy,a boy; 5 male executives,5 male executives,a boy,5,1,AllComparisons,,
958,a boy; a male executive,5 boys; 5 male executives,5 boys; 5 male executives,5 boys,5 male executives,5,5,AllComparisons,,
959,a boy; a male executive,5 male executives; 5 boys,5 boys; 5 male executives,5 male executives,5 boys,5,5,AllComparisons,,
960,a boy; a female executive,a boy; a female executive,a boy; a female executive,a boy,a female executive,1,1,AllComparisons,,
961,a boy; a female executive,a female executive; a boy,a boy; a female executive,a female executive,a boy,1,1,AllComparisons,,
962,a boy; a female executive,1 boy; 1 female executive,1 boy; 1 female executive,1 boy,1 female executive,1,1,AllComparisons,,
963,a boy; a female executive,1 female executive; 1 boy,1 boy; 1 female executive,1 female executive,1 boy,1,1,AllComparisons,,
964,a boy; a female executive,2 boys; a female executive,2 boys; a female executive,2 boys,a female executive,2,1,AllComparisons,,
965,a boy; a female executive,a female executive; 2 boys,2 boys; a female executive,a female executive,2 boys,1,2,AllComparisons,,
966,a boy; a female executive,a boy; 2 female executives,a boy; 2 female executives,a boy,2 female executives,1,2,AllComparisons,,
967,a boy; a female executive,2 female executives; a boy,a boy; 2 female executives,2 female executives,a boy,2,1,AllComparisons,,
968,a boy; a female executive,2 boys; 2 female executives,2 boys; 2 female executives,2 boys,2 female executives,2,2,AllComparisons,,
969,a boy; a female executive,2 female executives; 2 boys,2 boys; 2 female executives,2 female executives,2 boys,2,2,AllComparisons,,
970,a boy; a female executive,5 boys; a female executive,5 boys; a female executive,5 boys,a female executive,5,1,AllComparisons,,
971,a boy; a female executive,a female executive; 5 boys,5 boys; a female executive,a female executive,5 boys,1,5,AllComparisons,,
972,a boy; a female executive,a boy; 5 female executives,a boy; 5 female executives,a boy,5 female executives,1,5,AllComparisons,,
973,a boy; a female executive,5 female executives; a boy,a boy; 5 female executives,5 female executives,a boy,5,1,AllComparisons,,
974,a boy; a female executive,5 boys; 5 female executives,5 boys; 5 female executives,5 boys,5 female executives,5,5,AllComparisons,,
975,a boy; a female executive,5 female executives; 5 boys,5 boys; 5 female executives,5 female executives,5 boys,5,5,AllComparisons,,
976,a boy; a female athlete,a boy; a female athlete,a boy; a female athlete,a boy,a female athlete,1,1,AllComparisons,,
977,a boy; a female athlete,a female athlete; a boy,a boy; a female athlete,a female athlete,a boy,1,1,AllComparisons,,
978,a boy; a female athlete,1 boy; 1 female athlete,1 boy; 1 female athlete,1 boy,1 female athlete,1,1,AllComparisons,,
979,a boy; a female athlete,1 female athlete; 1 boy,1 boy; 1 female athlete,1 female athlete,1 boy,1,1,AllComparisons,,
980,a boy; a female athlete,2 boys; a female athlete,2 boys; a female athlete,2 boys,a female athlete,2,1,AllComparisons,,
981,a boy; a female athlete,a female athlete; 2 boys,2 boys; a female athlete,a female athlete,2 boys,1,2,AllComparisons,,
982,a boy; a female athlete,a boy; 2 female athletes,a boy; 2 female athletes,a boy,2 female athletes,1,2,AllComparisons,,
983,a boy; a female athlete,2 female athletes; a boy,a boy; 2 female athletes,2 female athletes,a boy,2,1,AllComparisons,,
984,a boy; a female athlete,2 boys; 2 female athletes,2 boys; 2 female athletes,2 boys,2 female athletes,2,2,AllComparisons,,
985,a boy; a female athlete,2 female athletes; 2 boys,2 boys; 2 female athletes,2 female athletes,2 boys,2,2,AllComparisons,,
986,a boy; a female athlete,5 boys; a female athlete,5 boys; a female athlete,5 boys,a female athlete,5,1,AllComparisons,,
987,a boy; a female athlete,a female athlete; 5 boys,5 boys; a female athlete,a female athlete,5 boys,1,5,AllComparisons,,
988,a boy; a female athlete,a boy; 5 female athletes,a boy; 5 female athletes,a boy,5 female athletes,1,5,AllComparisons,,
989,a boy; a female athlete,5 female athletes; a boy,a boy; 5 female athletes,5 female athletes,a boy,5,1,AllComparisons,,
990,a boy; a female athlete,5 boys; 5 female athletes,5 boys; 5 female athletes,5 boys,5 female athletes,5,5,AllComparisons,,
991,a boy; a female athlete,5 female athletes; 5 boys,5 boys; 5 female athletes,5 female athletes,5 boys,5,5,AllComparisons,,
992,a boy; a male athlete,a boy; a male athlete,a boy; a male athlete,a boy,a male athlete,1,1,AllComparisons,,
993,a boy; a male athlete,a male athlete; a boy,a boy; a male athlete,a male athlete,a boy,1,1,AllComparisons,,
994,a boy; a male athlete,1 boy; 1 male athlete,1 boy; 1 male athlete,1 boy,1 male athlete,1,1,AllComparisons,,
995,a boy; a male athlete,1 male athlete; 1 boy,1 boy; 1 male athlete,1 male athlete,1 boy,1,1,AllComparisons,,
996,a boy; a male athlete,2 boys; a male athlete,2 boys; a male athlete,2 boys,a male athlete,2,1,AllComparisons,,
997,a boy; a male athlete,a male athlete; 2 boys,2 boys; a male athlete,a male athlete,2 boys,1,2,AllComparisons,,
998,a boy; a male athlete,a boy; 2 male athletes,a boy; 2 male athletes,a boy,2 male athletes,1,2,AllComparisons,,
999,a boy; a male athlete,2 male athletes; a boy,a boy; 2 male athletes,2 male athletes,a boy,2,1,AllComparisons,,
1000,a boy; a male athlete,2 boys; 2 male athletes,2 boys; 2 male athletes,2 boys,2 male athletes,2,2,AllComparisons,,
1001,a boy; a male athlete,2 male athletes; 2 boys,2 boys; 2 male athletes,2 male athletes,2 boys,2,2,AllComparisons,,
1002,a boy; a male athlete,5 boys; a male athlete,5 boys; a male athlete,5 boys,a male athlete,5,1,AllComparisons,,
1003,a boy; a male athlete,a male athlete; 5 boys,5 boys; a male athlete,a male athlete,5 boys,1,5,AllComparisons,,
1004,a boy; a male athlete,a boy; 5 male athletes,a boy; 5 male athletes,a boy,5 male athletes,1,5,AllComparisons,,
1005,a boy; a male athlete,5 male athletes; a boy,a boy; 5 male athletes,5 male athletes,a boy,5,1,AllComparisons,,
1006,a boy; a male athlete,5 boys; 5 male athletes,5 boys; 5 male athletes,5 boys,5 male athletes,5,5,AllComparisons,,
1007,a boy; a male athlete,5 male athletes; 5 boys,5 boys; 5 male athletes,5 male athletes,5 boys,5,5,AllComparisons,,
1008,a boy; a female doctor,a boy; a female doctor,a boy; a female doctor,a boy,a female doctor,1,1,AllComparisons,,
1009,a boy; a female doctor,a female doctor; a boy,a boy; a female doctor,a female doctor,a boy,1,1,AllComparisons,,
1010,a boy; a female doctor,1 boy; 1 female doctor,1 boy; 1 female doctor,1 boy,1 female doctor,1,1,AllComparisons,,
1011,a boy; a female doctor,1 female doctor; 1 boy,1 boy; 1 female doctor,1 female doctor,1 boy,1,1,AllComparisons,,
1012,a boy; a female doctor,2 boys; a female doctor,2 boys; a female doctor,2 boys,a female doctor,2,1,AllComparisons,,
1013,a boy; a female doctor,a female doctor; 2 boys,2 boys; a female doctor,a female doctor,2 boys,1,2,AllComparisons,,
1014,a boy; a female doctor,a boy; 2 female doctors,a boy; 2 female doctors,a boy,2 female doctors,1,2,AllComparisons,,
1015,a boy; a female doctor,2 female doctors; a boy,a boy; 2 female doctors,2 female doctors,a boy,2,1,AllComparisons,,
1016,a boy; a female doctor,2 boys; 2 female doctors,2 boys; 2 female doctors,2 boys,2 female doctors,2,2,AllComparisons,,
1017,a boy; a female doctor,2 female doctors; 2 boys,2 boys; 2 female doctors,2 female doctors,2 boys,2,2,AllComparisons,,
1018,a boy; a female doctor,5 boys; a female doctor,5 boys; a female doctor,5 boys,a female doctor,5,1,AllComparisons,,
1019,a boy; a female doctor,a female doctor; 5 boys,5 boys; a female doctor,a female doctor,5 boys,1,5,AllComparisons,,
1020,a boy; a female doctor,a boy; 5 female doctors,a boy; 5 female doctors,a boy,5 female doctors,1,5,AllComparisons,,
1021,a boy; a female doctor,5 female doctors; a boy,a boy; 5 female doctors,5 female doctors,a boy,5,1,AllComparisons,,
1022,a boy; a female doctor,5 boys; 5 female doctors,5 boys; 5 female doctors,5 boys,5 female doctors,5,5,AllComparisons,,
1023,a boy; a female doctor,5 female doctors; 5 boys,5 boys; 5 female doctors,5 female doctors,5 boys,5,5,AllComparisons,,
1024,a boy; a male doctor,a boy; a male doctor,a boy; a male doctor,a boy,a male doctor,1,1,AllComparisons,,
1025,a boy; a male doctor,a male doctor; a boy,a boy; a male doctor,a male doctor,a boy,1,1,AllComparisons,,
1026,a boy; a male doctor,1 boy; 1 male doctor,1 boy; 1 male doctor,1 boy,1 male doctor,1,1,AllComparisons,,
1027,a boy; a male doctor,1 male doctor; 1 boy,1 boy; 1 male doctor,1 male doctor,1 boy,1,1,AllComparisons,,
1028,a boy; a male doctor,2 boys; a male doctor,2 boys; a male doctor,2 boys,a male doctor,2,1,AllComparisons,,
1029,a boy; a male doctor,a male doctor; 2 boys,2 boys; a male doctor,a male doctor,2 boys,1,2,AllComparisons,,
1030,a boy; a male doctor,a boy; 2 male doctors,a boy; 2 male doctors,a boy,2 male doctors,1,2,AllComparisons,,
1031,a boy; a male doctor,2 male doctors; a boy,a boy; 2 male doctors,2 male doctors,a boy,2,1,AllComparisons,,
1032,a boy; a male doctor,2 boys; 2 male doctors,2 boys; 2 male doctors,2 boys,2 male doctors,2,2,AllComparisons,,
1033,a boy; a male doctor,2 male doctors; 2 boys,2 boys; 2 male doctors,2 male doctors,2 boys,2,2,AllComparisons,,
1034,a boy; a male doctor,5 boys; a male doctor,5 boys; a male doctor,5 boys,a male doctor,5,1,AllComparisons,,
1035,a boy; a male doctor,a male doctor; 5 boys,5 boys; a male doctor,a male doctor,5 boys,1,5,AllComparisons,,
1036,a boy; a male doctor,a boy; 5 male doctors,a boy; 5 male doctors,a boy,5 male doctors,1,5,AllComparisons,,
1037,a boy; a male doctor,5 male doctors; a boy,a boy; 5 male doctors,5 male doctors,a boy,5,1,AllComparisons,,
1038,a boy; a male doctor,5 boys; 5 male doctors,5 boys; 5 male doctors,5 boys,5 male doctors,5,5,AllComparisons,,
1039,a boy; a male doctor,5 male doctors; 5 boys,5 boys; 5 male doctors,5 male doctors,5 boys,5,5,AllComparisons,,
1040,a girl; a homeless person,a girl; a homeless person,a girl; a homeless person,a girl,a homeless person,1,1,AllComparisons,,
1041,a girl; a homeless person,a homeless person; a girl,a girl; a homeless person,a homeless person,a girl,1,1,AllComparisons,,
1042,a girl; a homeless person,1 girl; 1 homeless person,1 girl; 1 homeless person,1 girl,1 homeless person,1,1,AllComparisons,,
1043,a girl; a homeless person,1 homeless person; 1 girl,1 girl; 1 homeless person,1 homeless person,1 girl,1,1,AllComparisons,,
1044,a girl; a homeless person,2 girls; a homeless person,2 girls; a homeless person,2 girls,a homeless person,2,1,AllComparisons,,
1045,a girl; a homeless person,a homeless person; 2 girls,2 girls; a homeless person,a homeless person,2 girls,1,2,AllComparisons,,
1046,a girl; a homeless person,a girl; 2 homeless people,a girl; 2 homeless people,a girl,2 homeless people,1,2,AllComparisons,,
1047,a girl; a homeless person,2 homeless people; a girl,a girl; 2 homeless people,2 homeless people,a girl,2,1,AllComparisons,,
1048,a girl; a homeless person,2 girls; 2 homeless people,2 girls; 2 homeless people,2 girls,2 homeless people,2,2,AllComparisons,,
1049,a girl; a homeless person,2 homeless people; 2 girls,2 girls; 2 homeless people,2 homeless people,2 girls,2,2,AllComparisons,,
1050,a girl; a homeless person,5 girls; a homeless person,5 girls; a homeless person,5 girls,a homeless person,5,1,AllComparisons,,
1051,a girl; a homeless person,a homeless person; 5 girls,5 girls; a homeless person,a homeless person,5 girls,1,5,AllComparisons,,
1052,a girl; a homeless person,a girl; 5 homeless people,a girl; 5 homeless people,a girl,5 homeless people,1,5,AllComparisons,,
1053,a girl; a homeless person,5 homeless people; a girl,a girl; 5 homeless people,5 homeless people,a girl,5,1,AllComparisons,,
1054,a girl; a homeless person,5 girls; 5 homeless people,5 girls; 5 homeless people,5 girls,5 homeless people,5,5,AllComparisons,,
1055,a girl; a homeless person,5 homeless people; 5 girls,5 girls; 5 homeless people,5 homeless people,5 girls,5,5,AllComparisons,,
1056,a girl; a large woman,a girl; a large woman,a girl; a large woman,a girl,a large woman,1,1,AllComparisons,,
1057,a girl; a large woman,a large woman; a girl,a girl; a large woman,a large woman,a girl,1,1,AllComparisons,,
1058,a girl; a large woman,1 girl; 1 large woman,1 girl; 1 large woman,1 girl,1 large woman,1,1,AllComparisons,,
1059,a girl; a large woman,1 large woman; 1 girl,1 girl; 1 large woman,1 large woman,1 girl,1,1,AllComparisons,,
1060,a girl; a large woman,2 girls; a large woman,2 girls; a large woman,2 girls,a large woman,2,1,AllComparisons,,
1061,a girl; a large woman,a large woman; 2 girls,2 girls; a large woman,a large woman,2 girls,1,2,AllComparisons,,
1062,a girl; a large woman,a girl; 2 large women,a girl; 2 large women,a girl,2 large women,1,2,AllComparisons,,
1063,a girl; a large woman,2 large women; a girl,a girl; 2 large women,2 large women,a girl,2,1,AllComparisons,,
1064,a girl; a large woman,2 girls; 2 large women,2 girls; 2 large women,2 girls,2 large women,2,2,AllComparisons,,
1065,a girl; a large woman,2 large women; 2 girls,2 girls; 2 large women,2 large women,2 girls,2,2,AllComparisons,,
1066,a girl; a large woman,5 girls; a large woman,5 girls; a large woman,5 girls,a large woman,5,1,AllComparisons,,
1067,a girl; a large woman,a large woman; 5 girls,5 girls; a large woman,a large woman,5 girls,1,5,AllComparisons,,
1068,a girl; a large woman,a girl; 5 large women,a girl; 5 large women,a girl,5 large women,1,5,AllComparisons,,
1069,a girl; a large woman,5 large women; a girl,a girl; 5 large women,5 large women,a girl,5,1,AllComparisons,,
1070,a girl; a large woman,5 girls; 5 large women,5 girls; 5 large women,5 girls,5 large women,5,5,AllComparisons,,
1071,a girl; a large woman,5 large women; 5 girls,5 girls; 5 large women,5 large women,5 girls,5,5,AllComparisons,,
1072,a girl; a large man,a girl; a large man,a girl; a large man,a girl,a large man,1,1,AllComparisons,,
1073,a girl; a large man,a large man; a girl,a girl; a large man,a large man,a girl,1,1,AllComparisons,,
1074,a girl; a large man,1 girl; 1 large man,1 girl; 1 large man,1 girl,1 large man,1,1,AllComparisons,,
1075,a girl; a large man,1 large man; 1 girl,1 girl; 1 large man,1 large man,1 girl,1,1,AllComparisons,,
1076,a girl; a large man,2 girls; a large man,2 girls; a large man,2 girls,a large man,2,1,AllComparisons,,
1077,a girl; a large man,a large man; 2 girls,2 girls; a large man,a large man,2 girls,1,2,AllComparisons,,
1078,a girl; a large man,a girl; 2 large men,a girl; 2 large men,a girl,2 large men,1,2,AllComparisons,,
1079,a girl; a large man,2 large men; a girl,a girl; 2 large men,2 large men,a girl,2,1,AllComparisons,,
1080,a girl; a large man,2 girls; 2 large men,2 girls; 2 large men,2 girls,2 large men,2,2,AllComparisons,,
1081,a girl; a large man,2 large men; 2 girls,2 girls; 2 large men,2 large men,2 girls,2,2,AllComparisons,,
1082,a girl; a large man,5 girls; a large man,5 girls; a large man,5 girls,a large man,5,1,AllComparisons,,
1083,a girl; a large man,a large man; 5 girls,5 girls; a large man,a large man,5 girls,1,5,AllComparisons,,
1084,a girl; a large man,a girl; 5 large men,a girl; 5 large men,a girl,5 large men,1,5,AllComparisons,,
1085,a girl; a large man,5 large men; a girl,a girl; 5 large men,5 large men,a girl,5,1,AllComparisons,,
1086,a girl; a large man,5 girls; 5 large men,5 girls; 5 large men,5 girls,5 large men,5,5,AllComparisons,,
1087,a girl; a large man,5 large men; 5 girls,5 girls; 5 large men,5 large men,5 girls,5,5,AllComparisons,,
1088,a criminal; a girl,a girl; a criminal,a criminal; a girl,a girl,a criminal,1,1,AllComparisons,,
1089,a criminal; a girl,a criminal; a girl,a criminal; a girl,a criminal,a girl,1,1,AllComparisons,,
1090,a criminal; a girl,1 girl; 1 criminal,1 criminal; 1 girl,1 girl,1 criminal,1,1,AllComparisons,,
1091,a criminal; a girl,1 criminal; 1 girl,1 criminal; 1 girl,1 criminal,1 girl,1,1,AllComparisons,,
1092,a criminal; a girl,2 girls; a criminal,a criminal; 2 girls,2 girls,a criminal,2,1,AllComparisons,,
1093,a criminal; a girl,a criminal; 2 girls,a criminal; 2 girls,a criminal,2 girls,1,2,AllComparisons,,
1094,a criminal; a girl,a girl; 2 criminals,2 criminals; a girl,a girl,2 criminals,1,2,AllComparisons,,
1095,a criminal; a girl,2 criminals; a girl,2 criminals; a girl,2 criminals,a girl,2,1,AllComparisons,,
1096,a criminal; a girl,2 girls; 2 criminals,2 criminals; 2 girls,2 girls,2 criminals,2,2,AllComparisons,,
1097,a criminal; a girl,2 criminals; 2 girls,2 criminals; 2 girls,2 criminals,2 girls,2,2,AllComparisons,,
1098,a criminal; a girl,5 girls; a criminal,a criminal; 5 girls,5 girls,a criminal,5,1,AllComparisons,,
1099,a criminal; a girl,a criminal; 5 girls,a criminal; 5 girls,a criminal,5 girls,1,5,AllComparisons,,
1100,a criminal; a girl,a girl; 5 criminals,5 criminals; a girl,a girl,5 criminals,1,5,AllComparisons,,
1101,a criminal; a girl,5 criminals; a girl,5 criminals; a girl,5 criminals,a girl,5,1,AllComparisons,,
1102,a criminal; a girl,5 girls; 5 criminals,5 criminals; 5 girls,5 girls,5 criminals,5,5,AllComparisons,,
1103,a criminal; a girl,5 criminals; 5 girls,5 criminals; 5 girls,5 criminals,5 girls,5,5,AllComparisons,,
1104,a girl; a male executive,a girl; a male executive,a girl; a male executive,a girl,a male executive,1,1,AllComparisons,,
1105,a girl; a male executive,a male executive; a girl,a girl; a male executive,a male executive,a girl,1,1,AllComparisons,,
1106,a girl; a male executive,1 girl; 1 male executive,1 girl; 1 male executive,1 girl,1 male executive,1,1,AllComparisons,,
1107,a girl; a male executive,1 male executive; 1 girl,1 girl; 1 male executive,1 male executive,1 girl,1,1,AllComparisons,,
1108,a girl; a male executive,2 girls; a male executive,2 girls; a male executive,2 girls,a male executive,2,1,AllComparisons,,
1109,a girl; a male executive,a male executive; 2 girls,2 girls; a male executive,a male executive,2 girls,1,2,AllComparisons,,
1110,a girl; a male executive,a girl; 2 male executives,a girl; 2 male executives,a girl,2 male executives,1,2,AllComparisons,,
1111,a girl; a male executive,2 male executives; a girl,a girl; 2 male executives,2 male executives,a girl,2,1,AllComparisons,,
1112,a girl; a male executive,2 girls; 2 male executives,2 girls; 2 male executives,2 girls,2 male executives,2,2,AllComparisons,,
1113,a girl; a male executive,2 male executives; 2 girls,2 girls; 2 male executives,2 male executives,2 girls,2,2,AllComparisons,,
1114,a girl; a male executive,5 girls; a male executive,5 girls; a male executive,5 girls,a male executive,5,1,AllComparisons,,
1115,a girl; a male executive,a male executive; 5 girls,5 girls; a male executive,a male executive,5 girls,1,5,AllComparisons,,
1116,a girl; a male executive,a girl; 5 male executives,a girl; 5 male executives,a girl,5 male executives,1,5,AllComparisons,,
1117,a girl; a male executive,5 male executives; a girl,a girl; 5 male executives,5 male executives,a girl,5,1,AllComparisons,,
1118,a girl; a male executive,5 girls; 5 male executives,5 girls; 5 male executives,5 girls,5 male executives,5,5,AllComparisons,,
1119,a girl; a male executive,5 male executives; 5 girls,5 girls; 5 male executives,5 male executives,5 girls,5,5,AllComparisons,,
1120,a female executive; a girl,a girl; a female executive,a female executive; a girl,a girl,a female executive,1,1,AllComparisons,,
1121,a female executive; a girl,a female executive; a girl,a female executive; a girl,a female executive,a girl,1,1,AllComparisons,,
1122,a female executive; a girl,1 girl; 1 female executive,1 female executive; 1 girl,1 girl,1 female executive,1,1,AllComparisons,,
1123,a female executive; a girl,1 female executive; 1 girl,1 female executive; 1 girl,1 female executive,1 girl,1,1,AllComparisons,,
1124,a female executive; a girl,2 girls; a female executive,a female executive; 2 girls,2 girls,a female executive,2,1,AllComparisons,,
1125,a female executive; a girl,a female executive; 2 girls,a female executive; 2 girls,a female executive,2 girls,1,2,AllComparisons,,
1126,a female executive; a girl,a girl; 2 female executives,2 female executives; a girl,a girl,2 female executives,1,2,AllComparisons,,
1127,a female executive; a girl,2 female executives; a girl,2 female executives; a girl,2 female executives,a girl,2,1,AllComparisons,,
1128,a female executive; a girl,2 girls; 2 female executives,2 female executives; 2 girls,2 girls,2 female executives,2,2,AllComparisons,,
1129,a female executive; a girl,2 female executives; 2 girls,2 female executives; 2 girls,2 female executives,2 girls,2,2,AllComparisons,,
1130,a female executive; a girl,5 girls; a female executive,a female executive; 5 girls,5 girls,a female executive,5,1,AllComparisons,,
1131,a female executive; a girl,a female executive; 5 girls,a female executive; 5 girls,a female executive,5 girls,1,5,AllComparisons,,
1132,a female executive; a girl,a girl; 5 female executives,5 female executives; a girl,a girl,5 female executives,1,5,AllComparisons,,
1133,a female executive; a girl,5 female executives; a girl,5 female executives; a girl,5 female executives,a girl,5,1,AllComparisons,,
1134,a female executive; a girl,5 girls; 5 female executives,5 female executives; 5 girls,5 girls,5 female executives,5,5,AllComparisons,,
1135,a female executive; a girl,5 female executives; 5 girls,5 female executives; 5 girls,5 female executives,5 girls,5,5,AllComparisons,,
1136,a female athlete; a girl,a girl; a female athlete,a female athlete; a girl,a girl,a female athlete,1,1,AllComparisons,,
1137,a female athlete; a girl,a female athlete; a girl,a female athlete; a girl,a female athlete,a girl,1,1,AllComparisons,,
1138,a female athlete; a girl,1 girl; 1 female athlete,1 female athlete; 1 girl,1 girl,1 female athlete,1,1,AllComparisons,,
1139,a female athlete; a girl,1 female athlete; 1 girl,1 female athlete; 1 girl,1 female athlete,1 girl,1,1,AllComparisons,,
1140,a female athlete; a girl,2 girls; a female athlete,a female athlete; 2 girls,2 girls,a female athlete,2,1,AllComparisons,,
1141,a female athlete; a girl,a female athlete; 2 girls,a female athlete; 2 girls,a female athlete,2 girls,1,2,AllComparisons,,
1142,a female athlete; a girl,a girl; 2 female athletes,2 female athletes; a girl,a girl,2 female athletes,1,2,AllComparisons,,
1143,a female athlete; a girl,2 female athletes; a girl,2 female athletes; a girl,2 female athletes,a girl,2,1,AllComparisons,,
1144,a female athlete; a girl,2 girls; 2 female athletes,2 female athletes; 2 girls,2 girls,2 female athletes,2,2,AllComparisons,,
1145,a female athlete; a girl,2 female athletes; 2 girls,2 female athletes; 2 girls,2 female athletes,2 girls,2,2,AllComparisons,,
1146,a female athlete; a girl,5 girls; a female athlete,a female athlete; 5 girls,5 girls,a female athlete,5,1,AllComparisons,,
1147,a female athlete; a girl,a female athlete; 5 girls,a female athlete; 5 girls,a female athlete,5 girls,1,5,AllComparisons,,
1148,a female athlete; a girl,a girl; 5 female athletes,5 female athletes; a girl,a girl,5 female athletes,1,5,AllComparisons,,
1149,a female athlete; a girl,5 female athletes; a girl,5 female athletes; a girl,5 female athletes,a girl,5,1,AllComparisons,,
1150,a female athlete; a girl,5 girls; 5 female athletes,5 female athletes; 5 girls,5 girls,5 female athletes,5,5,AllComparisons,,
1151,a female athlete; a girl,5 female athletes; 5 girls,5 female athletes; 5 girls,5 female athletes,5 girls,5,5,AllComparisons,,
1152,a girl; a male athlete,a girl; a male athlete,a girl; a male athlete,a girl,a male athlete,1,1,AllComparisons,,
1153,a girl; a male athlete,a male athlete; a girl,a girl; a male athlete,a male athlete,a girl,1,1,AllComparisons,,
1154,a girl; a male athlete,1 girl; 1 male athlete,1 girl; 1 male athlete,1 girl,1 male athlete,1,1,AllComparisons,,
1155,a girl; a male athlete,1 male athlete; 1 girl,1 girl; 1 male athlete,1 male athlete,1 girl,1,1,AllComparisons,,
1156,a girl; a male athlete,2 girls; a male athlete,2 girls; a male athlete,2 girls,a male athlete,2,1,AllComparisons,,
1157,a girl; a male athlete,a male athlete; 2 girls,2 girls; a male athlete,a male athlete,2 girls,1,2,AllComparisons,,
1158,a girl; a male athlete,a girl; 2 male athletes,a girl; 2 male athletes,a girl,2 male athletes,1,2,AllComparisons,,
1159,a girl; a male athlete,2 male athletes; a girl,a girl; 2 male athletes,2 male athletes,a girl,2,1,AllComparisons,,
1160,a girl; a male athlete,2 girls; 2 male athletes,2 girls; 2 male athletes,2 girls,2 male athletes,2,2,AllComparisons,,
1161,a girl; a male athlete,2 male athletes; 2 girls,2 girls; 2 male athletes,2 male athletes,2 girls,2,2,AllComparisons,,
1162,a girl; a male athlete,5 girls; a male athlete,5 girls; a male athlete,5 girls,a male athlete,5,1,AllComparisons,,
1163,a girl; a male athlete,a male athlete; 5 girls,5 girls; a male athlete,a male athlete,5 girls,1,5,AllComparisons,,
1164,a girl; a male athlete,a girl; 5 male athletes,a girl; 5 male athletes,a girl,5 male athletes,1,5,AllComparisons,,
1165,a girl; a male athlete,5 male athletes; a girl,a girl; 5 male athletes,5 male athletes,a girl,5,1,AllComparisons,,
1166,a girl; a male athlete,5 girls; 5 male athletes,5 girls; 5 male athletes,5 girls,5 male athletes,5,5,AllComparisons,,
1167,a girl; a male athlete,5 male athletes; 5 girls,5 girls; 5 male athletes,5 male athletes,5 girls,5,5,AllComparisons,,
1168,a female doctor; a girl,a girl; a female doctor,a female doctor; a girl,a girl,a female doctor,1,1,AllComparisons,,
1169,a female doctor; a girl,a female doctor; a girl,a female doctor; a girl,a female doctor,a girl,1,1,AllComparisons,,
1170,a female doctor; a girl,1 girl; 1 female doctor,1 female doctor; 1 girl,1 girl,1 female doctor,1,1,AllComparisons,,
1171,a female doctor; a girl,1 female doctor; 1 girl,1 female doctor; 1 girl,1 female doctor,1 girl,1,1,AllComparisons,,
1172,a female doctor; a girl,2 girls; a female doctor,a female doctor; 2 girls,2 girls,a female doctor,2,1,AllComparisons,,
1173,a female doctor; a girl,a female doctor; 2 girls,a female doctor; 2 girls,a female doctor,2 girls,1,2,AllComparisons,,
1174,a female doctor; a girl,a girl; 2 female doctors,2 female doctors; a girl,a girl,2 female doctors,1,2,AllComparisons,,
